"","RMSE","MSE","MAE"
"1",1.48156076090774,2.19502228826152,1.15081723625557
"2",1.15198919591508,1.32707910750507,0.810344827586207
"3",1.32624604483051,1.75892857142857,0.991666666666667
"4",1.78885438199983,3.2,1.38840579710145
"5",1.59740031417083,2.55168776371308,1.17088607594937
"6",1.56002354770297,2.43367346938776,1.15714285714286
"7",1.71798217859134,2.95146276595745,1.2593085106383
"8",1.66543346881623,2.77366863905325,1.19822485207101
"9",Inf,Inf,Inf
"10",1.33265009817019,1.77595628415301,0.967213114754098
